Date,Open,High,Low,Close,Volume,Change
2020-09-01,40861,42075,40143,40549,2304816,-0.007684213102317483
2020-09-02,41536,49888,40996,44366,18313866,0.11385604177650577
2020-09-03,45308,45936,43601,45624,2996940,0.15588660028881973
2020-09-04,44095,45577,44051,45085,2137674,0.1344706977680481
2020-09-07,45127,53885,45127,49081,12393920,0.2591974960233978
2020-09-08,50022,50606,46924,46926,2806447,0.15726651705344152
2020-09-09,45847,49393,45354,47151,2694022,0.06277329486543759
2020-09-10,47373,47778,46743,47061,1122690,0.03149658074697537
2020-09-11,47106,47285,45937,46343,1115623,0.02790285017189742
2020-09-14,47104,48991,46341,48857,1754562,-0.004563884191438605
2020-09-15,49619,50291,48585,49441,1817214,0.053595021949452315
2020-09-16,49754,52987,49170,50474,3670945,0.0704757057114378
2020-09-17,51056,52987,50383,52540,2864941,0.11642336541934939
2020-09-18,52716,53166,50965,52135,2640487,0.1249811190471053
2020-09-21,53794,60079,53390,54021,8174624,0.10569621548601016
2020-09-22,53435,54917,49349,49621,3262863,0.003640703060213246
2020-09-23,50517,50696,46654,47285,3057545,-0.06318104370567024
2020-09-24,45847,46971,44455,44771,2597937,-0.14786829082603725
2020-09-25,45576,46069,44004,44141,1480263,-0.1533326939675842
2020-09-28,44589,46789,44500,46522,1366946,-0.13881638622017367
2020-09-29,47866,48541,45622,46567,1235306,-0.061546522641623524
2020-10-05,45578,46026,45083,45579,1145272,-0.036079094850375415
2020-10-06,47149,47284,44409,44995,1425422,0.005003238703625179
2020-10-07,44007,45308,44007,44771,1035297,0.014272445119050348
2020-10-08,44814,45083,43601,43917,1617691,-0.055995013112076
2020-10-12,44006,44319,43197,44007,792237,-0.05497455279489771
2020-10-13,44004,44363,42163,42614,1606435,-0.06505188793084538
2020-10-14,42344,43377,41492,42032,1210328,-0.06585176130681192
2020-10-15,42029,42253,39874,40459,1661579,-0.09631234504478348
2020-10-16,40235,41850,39606,41538,1419245,-0.054170366828335315
2020-10-19,41267,41312,40099,40100,753502,-0.0887813302429159
2020-10-20,40324,41538,40190,41538,961673,-0.025249917867367522
2020-10-21,42163,44902,41802,44455,2611628,0.05764655500570992
2020-10-22,44589,44814,42568,42570,1075934,0.052176277218912936
2020-10-23,42074,42253,41085,41132,911371,-0.00977418267610386
2020-10-26,40860,41445,40456,41042,663123,0.023491271820448967
2020-10-27,40548,41715,40548,41223,611596,-0.007583417593528763
2020-10-28,41535,41803,40950,41806,455396,-0.05958834776740529
2020-10-29,41085,43151,40906,42839,852687,0.006319003993422667
2020-10-30,42928,43871,41313,41313,986278,0.0044004667898474015
2020-11-02,41492,41715,41042,41313,522391,0.006602992056917278
2020-11-03,41444,42657,41444,41895,599433,0.016301579215486584
2020-11-04,42298,42837,41490,42480,806459,0.01612208773860213
2020-11-05,42477,43510,42208,43108,1210396,0.00627932491421368
2020-11-06,43195,43195,41713,41761,1301240,0.010844044247573459
2020-11-09,41804,43017,41759,42390,679346,0.02606927601481379
2020-11-10,42387,42431,41757,41895,723984,0.0
2020-11-11,41894,42523,41402,42166,714655,-0.007391713747645912
2020-11-12,41984,42523,41759,42121,717380,-0.02289598218428135
2020-11-13,41712,42028,41444,41850,553962,0.002131175019755238
2020-11-16,41849,42793,41759,42211,869553,-0.0042226940316112405
2020-11-17,42073,42163,41534,41671,676751,-0.005346700083542211
2020-11-18,41624,42342,41535,41806,601887,-0.00853768439026703
2020-11-19,41623,41937,40949,41850,1053950,-0.006433845350300338
2020-11-20,42567,44095,42029,43153,2017865,0.031135005973715657
2020-11-23,43017,44096,42434,43513,1208379,0.030845040392314838
2020-11-24,43511,43511,42478,42480,1070429,0.01941398094598168
2020-11-25,42658,42927,41401,41627,1168935,-0.004281682055207403
2020-11-26,41715,42524,41041,42032,954934,0.0043488649940262025
2020-11-27,40459,41941,40459,41493,1397458,-0.03846777744305152
2020-11-30,41534,41938,40905,40908,1359841,-0.05986716613425869
2020-12-01,41084,41489,40860,40953,694092,-0.03594632768361583
2020-12-02,41401,43645,41041,42839,2471978,0.02911571816369185
2020-12-03,42973,43422,42524,42885,1019871,0.020294061667301078
2020-12-04,43063,43242,42479,42795,904274,0.03137878678331285
2020-12-07,42703,47911,42478,47734,6203812,0.16686222743717605
2020-12-08,48495,49124,43646,43647,4390595,0.06578272654018025
2020-12-09,43870,44588,42883,44231,2227919,0.032493755689908754
2020-12-10,43870,44948,43421,44231,1340255,0.03138626559403046
2020-12-11,44004,44543,43915,44186,915808,0.032503797172566795
