date,title,user,views,recommends,unrecommends
2022-10-27 12:39:00,참 징글징글 하다.,"
				jms0****
			",91,0,0
2022-10-27 12:39:00,"레스끼리롱, 얜 그낭 죄수없으면 추천","
				kmpk****
			",95,0,0
2022-10-27 12:38:00,이젠 4자 힘들다,"
				esti****
			",106,2,0
2022-10-27 12:38:00,어차피 조만간 최고점은 넘을거라 마음은 푸근,"
				kmpk****
			",119,2,3
2022-10-27 12:33:00,오전에 기분들 좋으셨겠어요..ㅋㅋ ,"
				mbjs****
			",157,3,1
2022-10-27 12:32:00,레쓰끼리롱입니다 ,"
				odan****
			",101,0,1
2022-10-27 12:27:00,사리생깁니다,"
				sky1****
			",99,0,0
2022-10-27 12:24:00,GBM임상결과는 주가에 큰 영향이 없어 보입니다,"
				kjn6****
			",170,5,0
2022-10-27 12:24:00,이젠 4자 보기가 힘들겠댜는 생각,"
				esti****
			",109,4,0
2022-10-27 12:14:00,쉿!! 곧 터진다!!,"
				ms******
			",164,0,6
2022-10-27 12:11:00,나가리구나~~~,"
				ptqj****
			",111,5,0
2022-10-27 12:03:00,이번달 발표 안나나?,"
				jwhw****
			",119,1,0
2022-10-27 12:01:00,누가 회사에,"
				erun****
			",152,1,0
2022-10-27 11:49:00,현 진안ㅇ곤이가 가장 고통스럽다,"
				kang****
			",129,0,2
2022-10-27 11:44:00,사기주,"
				sy66****
			",130,7,1
2022-10-27 11:41:00,김동길 ㅅㄲ,"
				phj7****
			",170,13,1
2022-10-27 11:30:00,급보!!  이뮤노믹 교모세포종 임상2상 결과 ,"
				cc******
			",444,22,2
2022-10-27 11:29:00,안티하는 친구들 ,"
				socc****
			",196,2,12
2022-10-27 11:27:00,대장주 사면 안되는 종목 확실시,"
				yaou****
			",158,3,2
2022-10-27 11:22:00,주포야! 뭘 어찌할줄 모를땐,"
				jhj6****
			",113,0,2
2022-10-27 11:12:00,주가 끌어올려 팔아먹고 하락 쳐 내림.,"
				seok****
			",143,5,2
2022-10-27 11:07:00,매수하면 100% 희망고문에,"
				cc******
			",132,2,3
2022-10-27 11:03:00,속보!/ 이뮤노믹 10월중 ,"
				cc******
			",413,12,5
2022-10-27 10:58:00, 오를겨? ㅋㅋ,"
				2001****
			",119,1,1
2022-10-27 10:54:00,답이 나왔네!,"
				jhj6****
			",160,2,2
2022-10-27 10:48:00,기다림의 시간 ~ 3년 기달 했다. ㅎ ~ 3년 더 남았다.,"
				han1****
			",154,3,3
2022-10-27 10:44:00,속보!!!  HLB 그룹주들은,"
				cc******
			",152,0,2
2022-10-27 10:37:00,줍줍   !,"
				kore****
			",142,2,2
2022-10-27 10:32:00,한투연에서,"
				subi****
			",256,7,0
2022-10-27 10:22:00,오늘 분위기 상으로,"
				pmho****
			",260,2,2
2022-10-27 10:18:00,적폐청산 ,"
				lskw****
			",164,4,4
2022-10-27 10:17:00,레쓰끼리롱입니다 ,"
				odan****
			",110,0,1
2022-10-27 10:16:00,엘비가 쩜상이란다 ㅋㅋㅋㅋ엘또속,"
				kang****
			",177,2,2
2022-10-27 10:16:00,22.1개월 수치에서,"
				sjy8****
			",190,4,1
2022-10-27 10:11:00,엘비가,"
				ss******
			",152,4,0
2022-10-27 10:03:00,쇠통수,"
				joho****
			",207,3,1
2022-10-27 10:01:00,ㅋ 거래량이 엄청 적네,"
				jjja****
			",156,0,0
2022-10-27 10:00:00,주포의 심정을 이해한다,"
				jhj6****
			",148,0,0
